"sur_scale_id,""sur_question_id"",""Skalenname"",""ItemName"",""Gruppentitel"",""Itemtext"""
"1,""52"",""Anstreng"",""Anst_best"",""Wie beurteilen Sie Ihr eigenes Lernverhalten?"",""Wenn ich lerne, gebe ich mein Bestes."""
"1,""54"",""Anstreng"",""Anst_voll"",""Wie beurteilen Sie Ihr eigenes Lernverhalten?"",""In der Schule bin ich meistens voll bei der Sache."""
"1,""56"",""Anstreng"",""Anst_sehr"",""Wie beurteilen Sie Ihr eigenes Lernverhalten?"",""Ich strenge mich in der Schule sehr an."""
"1,""58"",""Anstreng"",""Anst_schwierig"",""Wie beurteilen Sie Ihr eigenes Lernverhalten?"",""Wenn ich lerne, arbeite ich auch dann weiter, wenn der Stoff schwierig ist."""
"2,""17"",""Motivlp"",""Mot_inter"",""Werden Sie von Ihren Lehrpersonen beim Lernen unterstützt?"",""Unsere Lehrpersonen können auch trockenen Stoff wirklich interessant machen. """
"2,""18"",""Motivlp"",""Mot_span"",""Werden Sie von Ihren Lehrpersonen beim Lernen unterstützt?"",""Unsere Lehrpersonen gestalten den Unterricht oft sehr spannend."""
"2,""20"",""Motivlp"",""Mot_beg"",""Werden Sie von Ihren Lehrpersonen beim Lernen unterstützt?"",""Unsere Lehrpersonen können uns Schülerinnen und Schüler manchmal richtig begeistern."""
"3,""16"",""Unterstlp"",""Unt_fort"",""Werden Sie von Ihren Lehrpersonen beim Lernen unterstützt?"",""Unsere Lehrpersonen interessieren sich für den Lernfortschritt jedes einzelnen Schülers / jeder einzelnen Schülerin."""
"3,""19"",""Unterstlp"",""Unt_lernen"",""Werden Sie von Ihren Lehrpersonen beim Lernen unterstützt?"",""Unsere Lehrpersonen unterstützen uns beim Lernen."""
"3,""21"",""Unterstlp"",""Unt_helfen"",""Werden Sie von Ihren Lehrpersonen beim Lernen unterstützt?"",""Unsere Lehrpersonen tun viel, um uns zu helfen."""
"4,""36"",""Foerderung"",""Foe_sch"",""Fühlen Sie sich von Ihren Lehrpersonen gefördert?"",""Unsere Lehrpersonen loben auch die leistungsschwächeren Schülerinnen und Schüler, wenn sie merken, dass sie sich verbessern."""
"4,""37"",""Foerderung"",""Foe_anst"",""Fühlen Sie sich von Ihren Lehrpersonen gefördert?"",""Wenn ich mich besonders angestrengt habe, loben mich die Lehrpersonen meistens, auch wenn andere Schülerinnen und Schüler noch besser sind als ich."""
"4,""38"",""Foerderung"",""Foe_kuemm"",""Fühlen Sie sich von Ihren Lehrpersonen gefördert?"",""Bei uns kümmern sich die Lehrpersonen auch um die Schülerinnen und Schüler, die nicht so schnell mitkommen."""
